,title,combined
3503,Mute,SciFi  Fantasy Thrillers  AlexanderSkarsgård PaulRudd JustinTheroux Mute When his girlfriend vanishes a mute man ventures into a nearfuture Berlins seamy underworld where his actions speak louder than words
3504,Seven Seconds,Crime TV Shows TV Dramas  Clare-HopeAshitey ReginaKing BeauKnapp MichaelMosley DavidLyons RussellHornsby RaúlCastillo PatrickMurney Seven Seconds The death of a 15yearold African American boy in Jersey City sets off a police coverup and a search for the truth
3505,Timeline,Crime TV Shows Docuseries International TV Shows  SantiwithiPhrombut JamornKijsawapak OrrawanPhuakthaisong Timeline Firsthand accounts reenactments and computergenerated graphics retell in detail Thailands biggest news stories from the past
3506,Ugly Delicious,Docuseries  DavidChang PeterMeehan Ugly Delicious All the flavor None of the BS Star chef David Chang leads friends on a mouthwatering crosscultural hunt for the worlds most satisfying grub
3507,Kill Command,Action  Adventure Independent Movies SciFi  Fantasy  VanessaKirby DavidAjala MikeNoble BentleyKalu TomMcKay KellyGough OsiOkerafor DamianKell TimAhern DeborahRosan ThureLindhardt Kill Command On a remote island elite soldiers discover their training exercise is actually an experimental death trap teeming with efficiently lethal robots
3508,Bert Kreischer The Machine,StandUp Comedy  BertKreischer Bert Kreischer The Machine From his runin with a grizzly bear to partying with the Russian mafia the shirtless comic returns with laughoutloud tales in this standup special
3509,Firebrand,Dramas International Movies  UshaJadhav GirishKulkarni SachinKhedekar RajeshwariSachdev RushadRana MrunalOak Firebrand While she successfully advocates for her female clients in difficult divorce cases a lawyers trauma from sexual assault impacts her own marriage
3510,Paddleton,Comedies Dramas Independent Movies  MarkDuplass RayRomano Paddleton After hes diagnosed with terminal cancer middleaged Michael asks his neighbor friend Andy to help him end his life before the disease does
3511,Paris Is Us,Dramas Independent Movies International Movies  NoémieSchmidt GrégoireIsvarine MarieMottet LouCastel MathiasMinne MargauxBonin JuliaKouakou AlexandreSchreiber SchemciLauth TheoTagand ClémentOlivieri DoriaAchour Paris Is Us Amid a turbulent romance and rising tensions in Paris a young woman finds herself caught in a dizzying spiral of dreams memories and whatifs
3512,Shonar Pahar,Dramas Independent Movies International Movies  Tanuja JishuSengupta ParambrataChatterjee ArunimaGhosh ShrijatoBanerjee SoumitraChatterjee GargiRoychowdhury Shonar Pahar An older womans unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son
3513,The Prince,Action  Adventure  JasonPatric BruceWillis JohnCusack Rain JessicaLowndes JohnathonSchaech GiaMantegna 50Cent The Prince A former Mafia hit man living quietly as a mechanic veers back into his old world after his daughter is abducted and faces an old foe in New Orleans
3514,The Unknown Known,Documentaries  DonaldRumsfeld ErrolMorris The Unknown Known Donald Rumsfeld reviews his long political career from his time in Congress to serving as secretary of defense under Gerald Ford and George W Bush
3515,Trespass Against Us,Dramas  MichaelFassbender BrendanGleeson LyndseyMarshal GeorgieSmith RoryKinnear KillianScott SeanHarris KingsleyBen-Adir KacieAnderson GerardKearns Trespass Against Us A man from a criminal family yearns to break away and find a better life but his fathers staunch opposition puts his dreams of freedom in jeopardy
3516,Hitlers Circle of Evil,British TV Shows Docuseries International TV Shows  AlisdairSimpson HenrikJørgensen JamesLowe BlakeScott PeterTurnbull Hitlers Circle of Evil Surviving power struggles betrayals and plots Hitlers inner circle of Nazi leaders seizes control of Germany and designs its disastrous future
3517,Ken Burns The Civil War,Docuseries  SamWaterston JulieHarris JasonRobards MorganFreeman PaulRoebling GarrisonKeillor GeorgeBlack DavidMcCullough ArthurMiller ChristopherMurney CharlesMcDowell HortonFoote GeorgePlimpton PhilipBosco TerryCourier JodyPowell StudsTerkel Ken Burns The Civil War Ken Burnss documentary depicts the action of famous Civil War battles and relates the stories of soldiers generals and a beleaguered president
3518,Magnus,Children  Family Movies Documentaries International Movies  MagnusCarlsen Magnus This dramatic documentary explores the life and mind of Magnus Carlsen the charismatic Norwegian prodigy who became world chess champion
3519,Prohibition A Film by Ken Burns and Lynn Novick,Crime TV Shows Docuseries  PeterCoyote Prohibition A Film by Ken Burns and Lynn Novick Ken Burnss documentary traces the passage of the 18th Amendment the social and legal effects of prohibiting alcohol and the repeal of Prohibition
3520,Secrets of Chatsworth,Documentaries International Movies  SamuelWest Secrets of Chatsworth Tales of tragedy and scandal unfold through the history of Chatsworth a grand estate that has been home to some of Englands most noted aristocrats
3521,Secrets of Henry VIIIs Palace Hampton Court,Documentaries International Movies  SamuelWest Secrets of Henry VIIIs Palace Hampton Court The history of this grand 500yearold palace is inextricably tied to the lavish lifestyle of King Henry VIII and the doomed fates of his six wives
3522,Secrets of Her Majestys Secret Service,Documentaries International Movies  SamuelWest Secrets of Her Majestys Secret Service This documentary spotlights more than 100 years of operatives and operations in the UKs secret service the worlds oldest intelligence agency
3523,Secrets of Highclere Castle,Documentaries International Movies  SamuelWest Secrets of Highclere Castle Known as the setting of Downton Abbey Highclere Castle truly was the home of aristocrats and an army of servants with a rich past to share
3524,Secrets of the Tower of London,Documentaries  SamuelWest Secrets of the Tower of London Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and finally an armory and mint
3525,The War A Film by Ken Burns and Lynn Novick,Docuseries  KeithDavid The War A Film by Ken Burns and Lynn Novick A sevenpart series brings World War II to life through the harrowing personal accounts of soldiers and others from typical American towns
3526,The Drug King,Dramas International Movies Thrillers  SongKang-ho ChoJung-seok BaeDoona KimSo-jin KimDae-myung JoWoo-jin LeeHee-jun SongYoung-chang YoonJe-moon The Drug King A petty smuggler from Busan dives headfirst into illicit drug trafficking in the 1970s and rises to become king of narcotics exports to Japan
3527,The Intent 2 The Come Up,Dramas International Movies  JustinClarkeSamuel AshleyChin NickySlimtingWalker FemiOyeniran DylanDuffus ShoneRomulus AdamDeacon KarenBryson SelvaRasalingam JayBrown The Intent 2 The Come Up During a trip to Jamaica a London gang targets a disloyal member who has been meeting with rivals Meanwhile an undercover cop stands among them
3528,Forgotten,Dramas International Movies Thrillers  Ha-neulKang Moo-YulKim Young-heeNa Seong-kunMun Myung-RyulNam Eun-wooLee Chan-biJung GoChoi Seong-ilBae Soon-wonLee Forgotten When his abducted brother returns seemingly a different man with no memory of the past 19 days Jinseok chases after the truth behind the kidnapping
3529,Lincoln,Dramas  DanielDay-Lewis SallyField DavidStrathairn JosephGordon-Levitt JamesSpader HalHolbrook TommyLeeJones JackieEarleHaley JohnHawkes JaredHarris JosephCross TimBlakeNelson DavidOyelowo BruceMcGill Lincoln Director Steven Spielberg takes on the towering legacy of Abraham Lincoln focusing on his stewardship of the Union during the Civil War years
3530,The Bachelors,Dramas  J.K.Simmons JoshWiggins JulieDelpy OdeyaRush KevinDunn KimberlyCrandall JeanLouisaKelly CharlieDePew TyrelJacksonWilliams TomAmandes SpencerList JacquelineMazarella VanessaHoward HaroldPerrineau The Bachelors After the death of his wife a teacher and his son move to a new city where emotional connections with two women help them begin to heal
3531,Trevor Noah Afraid of the Dark,StandUp Comedy  TrevorNoah Trevor Noah Afraid of the Dark The Daily Show host ponders the perils of naming countries how traffic lights turn New Yorkers invincible and why you shouldnt drink in Scotland
3532,Being Elmo A Puppeteers Journey,Documentaries  KevinClash WhoopiGoldberg Being Elmo A Puppeteers Journey Whoopi Goldberg narrates Elmo creator Kevin Clashs remarkable journey from a workingclass Baltimore neighborhood to Jim Hensons Sesame Street
3533,Kevin James Sweat the Small Stuff,StandUp Comedy  KevinJames Kevin James Sweat the Small Stuff The film and television star riffs on lifes many royal pains in this hourlong special taped at New York Citys Hudson Theatre in 2001
3534,Transformer,Documentaries LGBTQ Movies  JanaeMarieKroczaleski Transformer Powerlifter Matt Kroczaleski faced his greatest challenge when he came out as transgender This documentary captures his transition into a woman
3535,The Breadwinner,Children  Family Movies Dramas International Movies  SaaraChaudry SomaChhaya AliBadshah SomaBhatia ShaistaLatif LaaraSadiq KawaAda NoorinGulamgaus The Breadwinner A courageous 11yearold Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested
3536,Mirzya,Dramas International Movies Music  Musicals  HarshvardhanKapoor SaiyamiKher AnujChoudhry ArtMalik OmPuri K.K.Raina AnjaliPatil Mirzya A modern love story is connected to an ancient folk tale as starcrossed lovers from different social classes are kept apart by their families
3537,All Light Will End,Horror Movies Thrillers  AshleyPereira AlexandraHarris TedWelch SamJonesIII SarahButler AndyBuckley GrahamOuterbridge MichaelJamesThomas JohnSchuck AaronMunoz All Light Will End A horror novelist with a traumatic past returns to her childhood hometown where she revisits her night terrors and loses sight of reality
3538,Await Further Instructions,Horror Movies SciFi  Fantasy  SamGittins GrantMasters NeerjaNaik AbigailCruttenden KrisSaddler HollyWeston DavidBradley Await Further Instructions A familys tense reunion turns terrifying when they get trapped in their home by an unknown force and sinister commands begin appearing on their TV
3539,Manusangada,Dramas Independent Movies International Movies  RajeevAnand Manimegalai A.S.SasiKumar VidhurRajarajan SheelaRajkumar SethuDarwin AnandSampath KarunaPrasad Manusangada When caste discrimination prevents a villager from giving his deceased father a rightful burial he takes his fight for equality to court
3540,One Strange Rock,Docuseries Science  Nature TV  WillSmith One Strange Rock Hosted by Will Smith this series follows eight astronauts who share their unique perspectives on Earth the fragile and beautiful planet we call home
3541,Viking Destiny,Action  Adventure SciFi  Fantasy  AnnaDemetriou TimoNieminen WillMellor AndrewWhipp PaulFreeman TerenceStamp IanBeattie VictoriaBroom TaylorFrost MartynFord Viking Destiny Framed for her fathers murder an exiled Viking princess is guided by the god Odin as she prepares to return to her kingdom and reclaim the throne
3542,Altered Carbon,Crime TV Shows TV Action  Adventure TV Dramas  JoelKinnaman JamesPurefoy MarthaHigareda RenéeEliseGoldsberry DichenLachman WillYunLee KristinLehman ChrisConner AtoEssandoh TamaraTaylor ByronMann Altered Carbon After 250 years on ice a prisoner returns to life in a new body with one chance to win his freedom by solving a mindbending murder
3543,Coach Snoop,Docuseries Reality TV  SnoopDogg Coach Snoop Fueled by his own rough upbringing Snoop Dogg creates a youth football league to keep atrisk kids off the streets and focused on their goals
3544,Kavin Jay Everybody Calm Down,StandUp Comedy  KavinJay Kavin Jay Everybody Calm Down On a mission to defy stereotypes Malaysian standup comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience
3545,On Body and Soul,Dramas International Movies Romantic Movies  AlexandraBorbély GézaMorcsányi RékaTenki ZoltánSchneider ErvinNagy ItalaBekes ÉvaBata PálMácsai ZsuzsaJaro NóraRainer-Micsinyei On Body and Soul Two shy and socially awkward coworkers in Budapest form a special bond through a mysterious mystic connection that manifests in a dream
3546,The Bros,Comedies Dramas International Movies  Dong-hwiLee Dong-seokMa Ha-NuiLee Woo-jinJo Young-changSong Chang-wookJi Man-seokOh Ye-jiSeo The Bros Reunited in their hometown for their fathers funeral two selfinterested brothers meet a peculiar woman who shares a huge secret about their family
3547,Trash Fire,Comedies Dramas Independent Movies  AdrianGrenier AngelaTrimbur AnnaLynneMcCord FionnulaFlanagan MatthewGrayGubler RaySantiago SallyKirkland EzraBuzzington Trash Fire Surprise news that his girlfriend is pregnant sends loutish Owen on an illadvised trip to reconnect with his twisted sister and sadistic grandmother
3548,Postcards from London,Dramas Independent Movies LGBTQ Movies  HarrisDickinson JonahHauer-King AlessandroCimadamore LeonardoSalerni RaphaelDesprez JeromeHolder LeemoreMarrettJr. SilasCarson StephenBoxer LeoHatton BenCura Postcards from London After being recruited to be a raconteur in London a handsome teenager discovers he suffers from a rare condition where he faints upon seeing fine art
3549,Spy Kids All the Time in the World,Children  Family Movies Comedies  JessicaAlba JoelMcHale RowanBlanchard MasonCook JeremyPiven AlexaPenaVega DarylSabara RickyGervais DannyTrejo Spy Kids All the Time in the World Former Spy Kids Carmen and Juni return to help twin siblings Rebecca and Cecil Wilson save the world with their retired secretagent stepmother
3550,Dismissed,Thrillers  KentOsborne DylanSprouse RaeGray AlyciaDelmore RobertLongstreet ChrisBauer RandallPark MitchellEdwards VictoriaZeutzius LeslieThurston MatthewJ.Evans Dismissed An intelligent but intense honor student traumatizes his high school teacher and mentor when he doesnt get the grade he believes he deserves
3551,FullMetal Alchemist,Action  Adventure Dramas International Movies  RyosukeYamada TsubasaHonda DeanFujioka MisakoRenbutsu KanataHongo ShinjiUchiyama JunKunimura YoOizumi RyutaSato FumiyoKohinata YasukoMatsuyuki FullMetal Alchemist While alchemist Edward Elric searches for a way to restore his brother Als body the military government and mysterious monsters are watching closely
3552,Memoir of a Murderer,Dramas International Movies Thrillers  Kyung-guSeol Nam-gilKim Seol-hyunKim Dal-suOh Seok-jeongHwang In-GumJung Ki-junShin Jin-youngJang RinaShin Hye-yoonKim Memoir of a Murderer Hiding his own murderous past a man suffering from Alzheimers must protect his daughter from her boyfriend who he suspects is also a serial killer
3553,마녀사냥,International TV Shows Korean TV Shows StandUp Comedy  Talk Shows  Si-kyungSung Se-yoonYoo Dong-yupShin Ji-woongHeo SamHammington 마녀사냥 Four Korean celebrity men and guest stars of both genders discuss women sex and relationships  to an unprecedented degree of openness
3554,Boy Missing,International Movies Thrillers  BlancaPortillo AntonioDechent VicenteRomero MarcDomènech NausicaaBonnín AndrésHerrera JoséCoronado MacarenaGómez PacoManzanedo SergiSubirà Boy Missing When her son is kidnapped and later found traumatized a lawyer takes justice into her own hands causing events that spiral out of control
3555,Growing Up Wild,Children  Family Movies Documentaries  DaveedDiggs Growing Up Wild Five baby animals from different parts of the world grow up learning to survive in the wild nurtured by the love and guidance of their families
3556,Tini The New Life of Violetta,Children  Family Movies Music  Musicals  MartinaStoessel JorgeBlanco AdriánSalzedo MercedesLambre DiegoRamos ClaraAlonso SofiaCarson LeonardoCecchi RiddervanKooten BeatriceArnera GeorginaAmorós Tini The New Life of Violetta After completing a world tour a teen pop star spends the summer at an Italian villa to recover from heartbreak and grow into a mature artist
3557,Cooked,Docuseries  MichaelPollan Cooked As he tries his hand at baking brewing and braising acclaimed food writer Michael Pollan explores how cooking transforms food and shapes our world
3558,GANTZO,Action  Adventure Anime Features Horror Movies  DaisukeOno M・A・O TomohiroKaku SaoriHayami ShuichiIkeda KendoKobayashi RazorRamonRG RazorRamonHG MasaneTsukayama MasayaOnosaka KenjiroTsuda TeruakiOgawa HisanoriYoshida YukiKaji GANTZO Teams of recently deceased people whove been revived and given hightech weapons must cooperate to defeat an army of monsters in Tokyo and Osaka
3559,Abominable Christmas,Children  Family Movies Comedies  IsabellaAcres DrakeBell EmilioEstevez NolanGould MatthewLillard RayLiotta JaneLynch ArielWinter Abominable Christmas Two small abominable snowmen flee their mountain to escape a scientist whos trying to capture them and end up spending Christmas with a human family
3560,Dear Dracula,Children  Family Movies Comedies  NathanGamble RayLiotta EmilioEstevez ArielWinter MatthewLillard YuriLowenthal MarionRoss TaraStrong Dear Dracula When he gets a fan letter from a young monster movie buff Dracula visits him and soon has a new friend helping him to get his confidence back
3561,Genius,Dramas International Movies  Roshan PriyaaLal AadukalamNaren SingamPuli MeeraKrishnan Jayaprakash Genius Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal mans adult life
3562,The Returned,International TV Shows TV Dramas TV Horror  AnneCosigny FrédéricPierrot ClotildeHesme CélineSallette SamirGuesmi GuillaumeGouix Jean-FrancoisSivadier AlixPoisson JennaThiam GrégoryGadebois PierrePerrier YaraPilartz SwannNambotin AnaGirardot BruneMartin BertrandConstant MatilaMalliarakis ConstanceDollé LaetitiadeFombelle SimonEhrlacher VincentTrouilleux JérômeKircher GuillaumeMarquet AlmaArnal JulienBourdel FrançoisBriault GillesChabrier AkselUstun AlainBlazquez The Returned On returning home and finding theyre believed to be dead a collection of nearstrangers from the same village try to find a reason for their plight
3563,Blood Money,Action  Adventure  JohnCusack EllarColtrane WillaFitzgerald JacobArtist NedBellamy AntonioBell JohannaMcGinley Blood Money Three friends on a wilderness trip find bags full of cash and must evade the criminal who hid the money in the first place
3564,Brave Miss World,Crime TV Shows Docuseries  LinorAbargil Brave Miss World Weeks before being named Miss World Linor Abargil was raped She tells the world her inspiring true story in this Emmynominated documentary
3565,INDIA,Dramas Independent Movies International Movies  HeebaShah AshwinShukla Muskaan AldanShaikh Ayesha INDIA A man buys a young girl codenames her Doll and sends her to live with a mother of two who has a mysterious mission to be fulfilled
3566,Kill Ratio,Action  Adventure  TomHopper AmyHuberman LacyMoore BrianMcGuinness LukePierucci NickDunning Kill Ratio Posing as a telecom salesman at a business conference a CIA agent fights to protect a fledgling Eastern European democracy from a military coup
3567,Love for Ten Generation of Youth,International TV Shows Korean TV Shows Romantic TV Shows  Sung-yeolLee Ji-hyunNam ClaraLee JinWon Love for Ten Generation of Youth A nerdy engineering student falls for a pretty outgoing girl at his college To get closer to her he joins the theater group she belongs to
3568,Madaari,Dramas Independent Movies International Movies  IrrfanKhan JimmyShergill VisheshBansal TusharDalvi NitishPandey Madaari A bridge under construction collapses in Mumbai killing a mans family and launching him on a crusade to bring those responsible to justice
3569,Rocky Handsome,Action  Adventure International Movies  JohnAbraham DiyaChalwad ShrutiHaasan NishikantKamat SharadKelkar NathaliaKaur Rocky Handsome A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drugaddicted neighbors young daughter
3570,TE3N,Dramas International Movies Thrillers  AmitabhBachchan NawazuddinSiddiqui VidyaBalan MukeshChhabra SabyasachiChakraborty PrakashBelawadi TotaRoyChowdhury PadmavatiRao SuneelSinha TE3N Still desperate to find his granddaughter nearly a decade after her kidnapping a devoted grandfather chases a dangerous new lead
3571,Black Sea,Action  Adventure Dramas International Movies  JudeLaw ScootMcNairy BenMendelsohn BobbySchofield TobiasMenzies MichaelSmiley GrigoriyDobrygin DavidThrelfall JodieWhittaker KarlDavies Black Sea A harddriving submarine captain is hired to steal gold from a sunken Nazi sub but theres no honor among thieves during this underwater heist
3572,The Super,Horror Movies  PatrickJohnFlueger ValKilmer LouisaKrause MatteaConforti TaylorRichardson PaulBen-Victor YulVazquez AndreaLynnGreen TravarisSpears MelissaBolona The Super When an excop becomes a superintendent of an apartment building he suspects the sinister janitor is behind the eerie disappearances of its tenants
3573,Agustín Aristarán Soy Rada,StandUp Comedy  AgustínAristarán Agustín Aristarán Soy Rada Argentine comedian Agustín Radagast Aristarán adds doses of magic music and acting to his highenergy standup routine
3574,Everything Sucks,TV Comedies TV Dramas Teen TV Shows  JahiDi'AlloWinston PeytonKennedy PatchDarragh ClaudineMboligikpelaniNako RioMangini QuinnLiebling SydneySweeney ElijahStevenson ZacharyRaySherman AbiBrittle Everything Sucks Its 1996 in a town called Boring where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era
3575,Irreplaceable You,Dramas Romantic Movies  GuguMbatha-Raw MichielHuisman ChristopherWalken SteveCoogan KateMcKinnon JackiWeaver TimothySimons BrianTyreeHenry AlannaMasterson GayleRankin TamaraTunie Irreplaceable You A stunning cancer diagnosis spurs Abbie to seek a future girlfriend for fiancé and childhood sweetheart Sam whos clueless when it comes to dating
3576,Milk,Dramas Independent Movies LGBTQ Movies  SeanPenn EmileHirsch JoshBrolin DiegoLuna JamesFranco AlisonPill VictorGarber DenisO'Hare JosephCross StephenSpinella LucasGrabeel BrandonBoyce Milk Sean Penn stars in this biopic about Harvey Milk the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978
3577,Operator,Comedies Dramas Independent Movies  MartinStarr MaeWhitman NatFaxon CameronEsposito Retta ChristineLahti KateCobb KristopherLofton TimHopper TrevorDawkins Operator When a programmer uses his wifes sympathetic voice for his companys customer service app he starts to rely more on her idealized self than her
3578,Marvels Iron Man  Hulk Heroes United,Action  Adventure SciFi  Fantasy  AdrianPasdar FredTatasciore DeeBradleyBaker RobinAtkinDownes DavidKaye Marvels Iron Man  Hulk Heroes United When scientists join Hulks gamma energy with Tony Starks Arc Reactor the resulting force creates a foe that only the two Marvel heroes can combat
3579,Alone in Berlin,Dramas  EmmaThompson BrendanGleeson DanielBrühl MoniqueChaumette JoachimBissmeier KatrinPollitt LarsRudolph UwePreuss DanielSträßer RainerReiners MikaelPersbrandt Alone in Berlin After learning of their sons death on the battlefield a grieving Berlin couple embark on a quietly dangerous act of resistance against Adolf Hitler
3580,Among Family,Comedies International Movies  EnginGünaydın DemetEvgar ErdalÖzyagcilar SuKutlu DevrimYakut FatihArtman GülseBirsel SevketÇoruh DeryaKaradas DevinÖzgürCinar Among Family Amid a marital crisis Fikret befriends songstress Solmaz after a wacky encounter and must fill in as the father of her soontowed daughter
3581,Anchor and Hope,Comedies Dramas LGBTQ Movies  OonaChaplin NataliaTena DavidVerdaguer GeraldineChaplin Anchor and Hope Kat and Evas happy romance hits a rough patch when Eva decides that she wants a child Visiting friend Roger could help complete their family
3582,Awe,Dramas International Movies SciFi  Fantasy  KajalAggarwal NithyaMenon ReginaCassandra EeshaRebba MurliSharma SrinivasAvasarala PriyadarshiPullikonda Awe Disparate characters including an aspiring time traveler a phony chef a drugaddicted waitress and several others share a surprising connection
3583,Ayana,Dramas International Movies  DeepakSubramanya ApoorvaSoma RameshBhat HarshaHS KarthikA GouthamShashidhar NagshreeKarkone MokshaKushal VedashreeRao Ayana With his carefree bachelor days behind him a young entrepreneurs ambitions for adulthood come with some painful personal and professional decisions
3584,Buddies,Comedies Dramas Independent Movies  ArielGoldenberg RitaPokk BrenoViola LimaDuarte MarcoLuque DanielTorres MonalizaMarchi AméliaBittencourt GiuliadeSouzaMerigo DetoMontenegro RuiUnas Buddies Inspired by the movie Thelma  Louise three young people with Down syndrome leave the institution where they live to take a road trip together
3585,Candyflip,Dramas Independent Movies International Movies  PrashantPrakash KalkiKoechlin PrakashRaj GulshanDevaiah ValeriyaPolyanychko Candyflip On the incandescent shores of Goa a young man tumbles down a mindbending  and soon dangerous  series of trips after taking hallucinatory drugs
3586,Chameli,Dramas International Movies  KareenaKapoor RahulBose RinkeKhanna YashpalSharma MakrandDeshpande KabirSadanand PankajJha Chameli While taking shelter from a Mumbai monsoon an investment banker forms an unlikely connection with a naïve prostitute over the course of the night
3587,Deadly Scholars,Dramas Thrillers  KennedyLeaSlocum CoreyFogelmanis AlexaMansour PeytonClark SherylLee SherriSaum EricStantonBetts ParisBerelc PedroCorrea AlissaLatow Deadly Scholars After a series of strange deaths a high school reporter tries to pin down the killer whos targeting students eligible for a prestigious scholarship
3588,Fatso,Comedies Dramas International Movies  RanvirShorey GulPanag PurabKohli NeilBhoopalam GunjanBakshi SaurabhShukla AtulKumar BrijendraKala BharatiAchrekar RahulVohra Fatso Killed too soon due to a clerical error in heaven a man is sent back to earth with a new lease on life this time in the body of his portly friend
3589,Hjørdis,International TV Shows TV Comedies TV Dramas  LiseBaastrup MartinBrygmann EllenHillingsø NickyAndersen NicolineSharmaRubow JasminBart-Williams WilliamRützou MariusDue RobertHansen Hjørdis This miniseries spinoff of Rita follows teacher Hjørdis as she plans a school play on bullying featuring a cast of socially awkward students
3590,Larry Charles Dangerous World of Comedy,Docuseries TV Comedies  LarryCharles Larry Charles Dangerous World of Comedy Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual unexpected and dangerous places
3591,My Travel Buddy,Comedies International Movies  OguzhanKoç İbrahimBüyükak EmreKınay AslıBekiroğlu EdaEce BaharSahin MuharremBayrak ToyganAvanoglu My Travel Buddy Days before Eid a salesman fired from his job drives to Ayvalık to meet his girlfriends family but the trip goes astray due to his zany travel buddy
3592,Neevevaro,Dramas International Movies Romantic Movies  Aadhi TapseePannu RitikaSingh VennelaKishore Sapthagiri Neevevaro When a blind chefs girlfriend goes missing his unnerving search for her leads him to find theres more to her disappearance than what meets the eye
3593,Never Heard,Dramas Faith  Spirituality  RomeoMiller DavidBanner RobinGivens KarruecheTran DijonTalton DorienWilson KarenAbercrombie KandiBurruss BrianWhite JackieLong Never Heard As his father sits behind bars a young man is lured into Los Angeles merciless drug world and forced to choose between God and gang life
3594,Outlawed,Action  Adventure  AdamCollins JessicaNorris IanHitchens StevenBlades ZaraPhythian AnthonyBurrows AndyCalderwood EmmelineKellie AndreSquire OllieChristie Outlawed After a failed mission an exRoyal Marines Commando tries to overcome his demons while investigating the death of his exgirlfriends father
3595,Pyaar Ke Side Effects,Comedies International Movies Romantic Movies  RahulBose MallikaSherawat RanvirShorey SharatSaxena AamirBashir TaraanaRaja JasArora SuchitraPillai SapnaBhavnani SophiyaChaudhary Pyaar Ke Side Effects A commitmentphobe agrees to marry his girlfriend setting in motion a series of hilarious mishaps that has him questioning what he got himself into
3596,Sur The Melody of Life,Dramas International Movies  LuckyAli SimoneSingh AchintKaur EhsanKhan HarshVasisht YashodhanBal GauriKarnik DivyaDutta Sur The Melody of Life A renowned music teacher mentors a promising young singer but when her fame begins to overshadow his own he lets jealousy and competition take over
3597,The 43,Crime TV Shows Docuseries International TV Shows  PacoIgnacioTaiboII The 43 This docuseries disputes the Mexican governments account of how and why 43 students from Ayotzinapa Rural Teachers College vanished in Iguala in 2014
3598,The Breaker Upperers,Comedies Independent Movies International Movies  MadeleineSami JackievanBeek JamesRolleston CeliaPacquola AnaScotney RimaTeWiata CarlBland BrettO'Gorman CohenHolloway JemaineClement The Breaker Upperers For the right price BFFs Jen and Mel will ruthlessly end any romance But when one of them grows a conscience their friendship begins to unravel
3599,The Detained,Horror Movies Thrillers  AlexFrnka SarahDavenport HenryZaga CoyStewart JenniferRobynJacobs GillianVigman KevinBlake The Detained Five high school students serving Saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them
3600,The Kirlian Frequency,International TV Shows SpanishLanguage TV Shows TV Horror  NicolásVandeMoortele LetiziaDeniseBloisi MaríaDupláa CiroHerce MilagrosMolina JorgePinarello CasperUncal JorgeLuisAlonso The Kirlian Frequency In the midnight hour a lone DJ broadcasts the strangest  and scariest  tales from the outer edges of Kirlian a lost city somewhere in Argentina
3601,Ugly Aur Pagli,Comedies International Movies Romantic Movies  MallikaSherawat RanvirShorey TinnuAnand SushmitaMukherjee ManishAnand VihangNayak BharatiAchrekar ZeenatAman Ugly Aur Pagli Everyday guy Kabir is thrown for a loop when he meets Kuhu a freewheeling party girl Now hes a changed man dancing running halfnaked through the streets and donning ladies shoes at her whim
3602,Youre Everything To Me,Comedies Dramas Independent Movies  TolgaÇevik CengizBozkurt MelisBirkan TunaÇevik Youre Everything To Me When an old fling shows up with their infant child a dallying manchild must take on the role of father and create a fairytale world for his daughter
3603,Yucatán,Comedies International Movies  LuisTosar RodrigodelaSerna JoanPera StephanieCayo GloriaMuñoz AdriánNúñez AliciaFernández JorgeAsín AgustínJiménez LupeCartiéRoda TxellAixendri XaviLite AlejandroVera JoãoLagarto Yucatán Competing con artists attempt to creatively and ruthlessly swindle a fatherly lottery winner while on a lively cruise from Spain to Mexico
3604,Asura The City of Madness,Action  Adventure Dramas International Movies  Jung-minHwang Do-wonKwak Man-sikJung Woo-sungJung Asura The City of Madness Caught between a corrupt mayor and a prosecutor intent on exposing political depravity a police detective must decide whose side hes on
3605,Daagdi Chaawl,Action  Adventure Dramas International Movies  AnkushChaudhari MakrandDeshpande PoojaSawant SanjayKhapre YatinKaryekar KamleshSawant SandeepGaikwad DigvijayRohidas Daagdi Chaawl A simple mans peaceful life is complicated when an incident brings him in contact with a gangster and launches his journey into the underworld
3606,Fakta Ladh Mhana,Action  Adventure Dramas International Movies  SachinKhedekar BharatJadhav AniketVishwasrao SiddarthJadhav SanjayNarvekar VaibhavMangale SantoshJuvekar SanjayKhapre MaheshManjrekar Fakta Ladh Mhana A young man enlists the help of his friends to avenge his uncles death by taking on a powerful unscrupulous politician
3607,Matichya Chuli,Comedies Dramas International Movies  SudhirJoshi VandanaGupte AnkushChaudhari MadhuraVelankar SanjayMone AnandAbhyankar Matichya Chuli A jealous possessive mother thinks she is competing with her new daughterinlaw for the affections of her overindulged son
